,Phone,Area_Code,State,Churn,Intl_Plan,Vmail_Plan,CustServ_Calls,Vmail_Message,Account_Length,Day_Mins,Eve_Mins,Night_Mins,Intl_Mins,Total_Mins,Day_Calls,Eve_Calls,Night_Calls,Intl_Calls,Day_Charge,Eve_Charge,Night_Charge,Intl_Charge,Total_Calls,Total_Charge,Avg_Daily_Charge,Avg_Cost_Per_Minute,Avg_Minutes_Per_Call,Avg_Cost_Per_Call,Day_Mins_to_Total,Eve_Mins_to_Total,Night_Mins_to_Total,Intl_Mins_to_Total,Day_Charge_to_Total,Eve_Charge_to_Total,Night_Charge_to_Total,Intl_Charge_to_Total,Care_Status,Total_Charge_Over_70
39,332-9891,408,NJ,no,no,no,1,0,149,140.4,271.8,188.3,11.1,611.6,94,92,108,9,23.87,23.1,8.47,3.0,303,58.44,0.39,0.1,2.02,0.19,22.96,44.44,30.79,1.81,40.85,39.53,14.49,5.13,low,no
40,372-9976,408,GA,no,no,no,3,0,98,126.3,166.8,187.8,9.4,490.3,102,85,135,2,21.47,14.18,8.45,2.54,324,46.64,0.48,0.1,1.51,0.14,25.76,34.02,38.3,1.92,46.03,30.4,18.12,5.45,critical,no
41,383-6029,408,MD,yes,yes,yes,0,41,135,173.1,203.9,122.2,14.6,513.8,85,107,78,15,29.43,17.33,5.5,3.94,285,56.2,0.42,0.11,1.8,0.2,33.69,39.68,23.78,2.84,52.37,30.84,9.79,7.01,none,no
42,353-7289,510,AR,no,no,no,2,0,34,124.8,282.2,311.5,10.0,728.5,82,98,78,4,21.22,23.99,14.02,2.7,262,61.93,1.82,0.09,2.78,0.24,17.13,38.74,42.76,1.37,34.26,38.74,22.64,4.36,high,no
43,390-7274,415,ID,no,no,no,3,0,160,85.8,165.3,178.5,9.2,438.8,77,110,92,4,14.59,14.05,8.03,2.48,283,39.15,0.24,0.09,1.55,0.14,19.55,37.67,40.68,2.1,37.27,35.89,20.51,6.33,critical,no
44,352-1237,510,WI,no,no,no,1,0,64,154.0,225.8,265.3,3.5,648.6,67,118,86,3,26.18,19.19,11.94,0.95,274,58.26,0.91,0.09,2.37,0.21,23.74,34.81,40.9,0.54,44.94,32.94,20.49,1.63,low,no
45,353-3061,408,OR,no,no,yes,2,28,59,120.9,213.0,163.1,8.5,505.5,97,92,116,5,20.55,18.11,7.34,2.3,310,48.3,0.82,0.1,1.63,0.16,23.92,42.14,32.27,1.68,42.55,37.49,15.2,4.76,high,no
46,363-5450,415,MI,no,no,no,3,0,65,211.3,162.6,134.7,13.2,521.8,120,122,118,5,35.92,13.82,6.06,3.56,365,59.36,0.91,0.11,1.43,0.16,40.49,31.16,25.81,2.53,60.51,23.28,10.21,6.0,critical,no
47,364-1995,408,DE,no,no,no,2,0,142,187.0,134.6,242.2,7.4,571.2,133,74,127,5,31.79,11.44,10.9,2.0,339,56.13,0.4,0.1,1.68,0.17,32.74,23.56,42.4,1.3,56.64,20.38,19.42,3.56,high,no
48,398-1294,415,ID,yes,no,no,5,0,119,159.1,231.3,143.2,8.8,542.4,114,117,91,3,27.05,19.66,6.44,2.38,325,55.53,0.47,0.1,1.67,0.17,29.33,42.64,26.4,1.62,48.71,35.4,11.6,4.29,critical,no
49,405-7146,415,WY,no,no,yes,1,24,97,133.2,217.2,70.6,11.0,432.0,135,58,79,3,22.64,18.46,3.18,2.97,275,47.25,0.49,0.11,1.57,0.17,30.83,50.28,16.34,2.55,47.92,39.07,6.73,6.29,low,no
50,413-4957,408,IA,no,no,no,3,0,52,191.9,269.8,236.8,7.8,706.3,108,96,87,5,32.62,22.93,10.66,2.11,296,68.32,1.31,0.1,2.39,0.23,27.17,38.2,33.53,1.1,47.75,33.56,15.6,3.09,critical,no
51,420-5645,408,IN,no,no,no,1,0,60,220.6,211.1,249.0,6.8,687.5,57,115,129,3,37.5,17.94,11.21,1.84,304,68.49,1.14,0.1,2.26,0.23,32.09,30.71,36.22,0.99,54.75,26.19,16.37,2.69,low,no
52,349-4396,408,VA,no,no,no,2,0,10,186.1,190.2,282.8,11.4,670.5,112,66,57,6,31.64,16.17,12.73,3.08,241,63.62,6.36,0.09,2.78,0.26,27.76,28.37,42.18,1.7,49.73,25.42,20.01,4.84,high,no
53,404-3211,415,UT,no,no,no,2,0,96,160.2,267.5,228.5,9.3,665.5,117,67,68,5,27.23,22.74,10.28,2.51,257,62.76,0.65,0.09,2.59,0.24,24.07,40.2,34.34,1.4,43.39,36.23,16.38,4.0,high,no
54,353-3759,415,WY,yes,no,no,5,0,87,151.0,219.7,203.9,9.7,584.3,83,116,127,3,25.67,18.67,9.18,2.62,329,56.14,0.65,0.1,1.78,0.17,25.84,37.6,34.9,1.66,45.72,33.26,16.35,4.67,critical,no
55,363-5947,408,IN,no,no,no,1,0,81,175.5,249.3,270.2,10.2,705.2,67,85,98,3,29.84,21.19,12.16,2.75,253,65.94,0.81,0.09,2.79,0.26,24.89,35.35,38.32,1.45,45.25,32.14,18.44,4.17,low,no
56,340-5121,415,CO,no,no,no,1,0,141,126.9,180.0,140.8,8.0,455.7,98,62,128,2,21.57,15.3,6.34,2.16,290,45.37,0.32,0.1,1.57,0.16,27.85,39.5,30.9,1.76,47.54,33.72,13.97,4.76,low,no
57,370-7574,408,CO,yes,no,yes,3,30,121,198.4,75.3,181.2,5.8,460.7,129,77,77,3,33.73,6.4,8.15,1.57,286,49.85,0.41,0.11,1.61,0.17,43.06,16.34,39.33,1.26,67.66,12.84,16.35,3.15,critical,no
58,403-9733,415,WI,no,no,no,3,0,68,148.8,246.5,129.8,12.1,537.2,70,164,103,3,25.3,20.95,5.84,3.27,340,55.36,0.81,0.1,1.58,0.16,27.7,45.89,24.16,2.25,45.7,37.84,10.55,5.91,critical,no
59,355-7251,408,OK,no,no,no,1,0,125,229.3,177.4,189.3,12.0,608.0,103,126,95,8,38.98,15.08,8.52,3.24,332,65.82,0.53,0.11,1.83,0.2,37.71,29.18,31.13,1.97,59.22,22.91,12.94,4.92,low,no
60,359-5893,408,ID,no,no,no,1,0,174,192.1,169.9,166.6,11.4,540.0,97,94,54,4,32.66,14.44,7.5,3.08,249,57.68,0.33,0.11,2.17,0.23,35.57,31.46,30.85,2.11,56.62,25.03,13.0,5.34,low,no
61,405-3371,415,CA,no,no,yes,2,34,116,268.6,178.2,166.3,11.6,624.7,83,142,106,3,45.66,15.15,7.48,3.13,334,71.42,0.62,0.11,1.87,0.21,43.0,28.53,26.62,1.86,63.93,21.21,10.47,4.38,high,yes
62,344-5117,510,MN,no,no,yes,2,33,74,193.7,246.1,138.0,14.6,592.4,91,96,92,3,32.93,20.92,6.21,3.94,282,64.0,0.86,0.11,2.1,0.23,32.7,41.54,23.3,2.46,51.45,32.69,9.7,6.16,high,no
63,332-8160,408,SD,no,no,yes,3,28,149,180.7,187.8,265.5,12.6,646.6,92,64,53,3,30.72,15.96,11.95,3.4,212,62.03,0.42,0.1,3.05,0.29,27.95,29.04,41.06,1.95,49.52,25.73,19.26,5.48,critical,no
64,359-4081,408,NC,no,no,no,2,0,38,131.2,162.9,159.0,8.2,461.3,98,97,106,6,22.3,13.85,7.15,2.21,307,45.51,1.2,0.1,1.5,0.15,28.44,35.31,34.47,1.78,49.0,30.43,15.71,4.86,high,no
65,352-8305,415,WA,no,no,yes,2,41,40,148.1,169.5,214.1,6.2,537.9,74,88,102,5,25.18,14.41,9.63,1.67,269,50.89,1.27,0.09,2.0,0.19,27.53,31.51,39.8,1.15,49.48,28.32,18.92,3.28,high,no
66,329-9847,415,WY,no,yes,no,0,0,43,251.5,212.8,157.8,9.3,631.4,105,104,67,4,42.76,18.09,7.1,2.51,280,70.46,1.64,0.11,2.26,0.25,39.83,33.7,24.99,1.47,60.69,25.67,10.08,3.56,none,yes
67,365-9011,408,MN,no,yes,no,0,0,113,125.2,206.4,129.3,8.3,469.2,93,119,139,8,21.28,17.54,5.82,2.24,359,46.88,0.41,0.1,1.31,0.13,26.68,43.99,27.56,1.77,45.39,37.41,12.41,4.78,none,no
68,338-9472,408,UT,no,no,no,1,0,126,211.6,216.9,153.5,7.8,589.8,70,80,60,1,35.97,18.44,6.91,2.11,211,63.43,0.5,0.11,2.8,0.3,35.88,36.78,26.03,1.32,56.71,29.07,10.89,3.33,low,no
69,374-8042,510,TX,yes,no,no,4,0,150,178.9,169.1,148.6,13.8,510.4,101,110,100,3,30.41,14.37,6.69,3.73,314,55.2,0.37,0.11,1.63,0.18,35.05,33.13,29.11,2.7,55.09,26.03,12.12,6.76,critical,no
70,359-1231,408,NJ,no,no,no,3,0,138,241.8,170.5,295.3,11.8,719.4,93,83,104,7,41.11,14.49,13.29,3.19,287,72.08,0.52,0.1,2.51,0.25,33.61,23.7,41.05,1.64,57.03,20.1,18.44,4.43,critical,yes
71,413-7170,510,MN,no,no,yes,0,46,162,224.9,188.2,254.6,12.1,679.8,97,84,61,2,38.23,16.0,11.46,3.27,244,68.96,0.43,0.1,2.79,0.28,33.08,27.68,37.45,1.78,55.44,23.2,16.62,4.74,none,no
72,415-2935,510,NM,no,no,no,3,0,147,248.6,148.9,172.5,8.0,578.0,83,85,109,4,42.26,12.66,7.76,2.16,281,64.84,0.44,0.11,2.06,0.23,43.01,25.76,29.84,1.38,65.18,19.52,11.97,3.33,critical,no
73,399-4246,415,NV,no,no,no,1,0,90,203.4,226.7,152.4,7.3,589.8,146,117,105,4,34.58,19.27,6.86,1.97,372,62.68,0.7,0.11,1.59,0.17,34.49,38.44,25.84,1.24,55.17,30.74,10.94,3.14,low,no
74,362-5889,415,HI,no,no,no,0,0,85,235.8,157.2,188.2,12.0,593.2,109,94,99,3,40.09,13.36,8.47,3.24,305,65.16,0.77,0.11,1.94,0.21,39.75,26.5,31.73,2.02,61.53,20.5,13.0,4.97,none,no
75,350-8921,415,MN,no,no,no,1,0,50,157.1,223.3,181.4,6.1,567.9,90,72,111,2,26.71,18.98,8.16,1.65,275,55.5,1.11,0.1,2.07,0.2,27.66,39.32,31.94,1.07,48.13,34.2,14.7,2.97,low,no
76,374-5353,415,DC,yes,no,no,0,0,82,300.3,181.0,270.1,11.7,763.1,109,100,73,4,51.05,15.39,12.15,3.16,286,81.75,1.0,0.11,2.67,0.29,39.35,23.72,35.4,1.53,62.45,18.83,14.86,3.87,none,yes
77,360-1171,408,NY,yes,no,no,4,0,144,61.6,77.1,173.0,8.2,319.9,117,85,99,7,10.47,6.55,7.79,2.21,308,27.02,0.19,0.08,1.04,0.09,19.26,24.1,54.08,2.56,38.75,24.24,28.83,8.18,critical,no
78,355-8887,415,MN,no,no,no,2,0,46,214.1,164.4,177.5,8.2,564.2,72,104,113,3,36.4,13.97,7.99,2.21,292,60.57,1.32,0.11,1.93,0.21,37.95,29.14,31.46,1.45,60.1,23.06,13.19,3.65,high,no
79,333-1967,408,MD,no,no,no,1,0,70,170.2,155.2,228.6,15.0,569.0,98,102,76,2,28.93,13.19,10.29,4.05,278,56.46,0.81,0.1,2.05,0.2,29.91,27.28,40.18,2.64,51.24,23.36,18.23,7.17,low,no
80,354-4577,415,WV,no,no,no,1,0,144,201.1,303.5,224.0,13.2,741.8,99,74,119,2,34.19,25.8,10.08,3.56,294,73.63,0.51,0.1,2.52,0.25,27.11,40.91,30.2,1.78,46.43,35.04,13.69,4.83,low,yes
81,331-7425,415,OR,no,yes,no,3,0,116,215.4,204.8,278.5,12.6,711.3,104,79,109,5,36.62,17.41,12.53,3.4,297,69.96,0.6,0.1,2.39,0.24,30.28,28.79,39.15,1.77,52.34,24.89,17.91,4.86,critical,no
82,419-2637,408,CO,no,no,yes,3,25,55,165.6,136.1,175.7,11.0,488.4,123,95,90,2,28.15,11.57,7.91,2.97,310,50.6,0.92,0.1,1.58,0.16,33.91,27.87,35.97,2.25,55.63,22.87,15.63,5.87,critical,no
83,411-1530,415,GA,no,no,yes,1,24,70,249.5,259.7,222.7,9.8,741.7,101,98,68,4,42.42,22.07,10.02,2.65,271,77.16,1.1,0.1,2.74,0.28,33.64,35.01,30.03,1.32,54.98,28.6,12.99,3.43,low,yes
84,395-3026,510,TX,yes,no,no,2,0,106,210.6,249.2,191.4,12.4,663.6,96,85,88,1,35.8,21.18,8.61,3.35,270,68.94,0.65,0.1,2.46,0.26,31.74,37.55,28.84,1.87,51.93,30.72,12.49,4.86,high,no
85,388-6441,510,VT,no,no,yes,0,29,128,179.3,225.9,323.0,8.6,736.8,104,86,78,7,30.48,19.2,14.54,2.32,275,66.54,0.52,0.09,2.68,0.24,24.33,30.66,43.84,1.17,45.81,28.85,21.85,3.49,none,no
86,402-1251,408,IN,yes,no,no,4,0,94,157.9,155.0,189.6,8.0,510.5,105,101,84,5,26.84,13.18,8.53,2.16,295,50.71,0.54,0.1,1.73,0.17,30.93,30.36,37.14,1.57,52.93,25.99,16.82,4.26,critical,no
87,412-9997,510,WV,no,no,no,1,0,111,214.3,208.5,182.4,12.0,617.2,118,76,98,2,36.43,17.72,8.21,3.24,294,65.6,0.59,0.11,2.1,0.22,34.72,33.78,29.55,1.94,55.53,27.01,12.52,4.94,low,no
88,346-7302,415,KY,no,no,yes,2,35,74,154.1,123.4,202.1,10.9,490.5,104,84,57,9,26.2,10.49,9.09,2.94,254,48.72,0.66,0.1,1.93,0.19,31.42,25.16,41.2,2.22,53.78,21.53,18.66,6.03,high,no
89,358-9095,415,NJ,yes,no,no,1,0,128,237.9,247.6,208.9,13.9,708.3,125,93,68,4,40.44,21.05,9.4,3.75,290,74.64,0.58,0.11,2.44,0.26,33.59,34.96,29.49,1.96,54.18,28.2,12.59,5.02,low,yes
90,400-9770,510,DC,no,no,no,1,0,82,143.9,194.9,109.6,11.1,459.5,61,105,94,2,24.46,16.57,4.93,3.0,262,48.96,0.6,0.11,1.75,0.19,31.32,42.42,23.85,2.42,49.96,33.84,10.07,6.13,low,no
91,334-1275,415,LA,yes,no,no,0,0,155,203.4,190.9,196.0,8.9,599.2,100,104,119,4,34.58,16.23,8.82,2.4,327,62.03,0.4,0.1,1.83,0.19,33.95,31.86,32.71,1.49,55.75,26.16,14.22,3.87,none,no
92,340-4953,415,AR,no,no,no,1,0,80,124.3,173.0,253.2,7.9,558.4,100,107,62,9,21.13,14.71,11.39,2.13,278,49.36,0.62,0.09,2.01,0.18,22.26,30.98,45.34,1.41,42.81,29.8,23.08,4.32,low,no
93,400-9510,415,ME,no,no,no,3,0,78,252.9,178.4,263.9,9.5,704.7,93,112,105,7,42.99,15.16,11.88,2.57,317,72.6,0.93,0.1,2.22,0.23,35.89,25.32,37.45,1.35,59.21,20.88,16.36,3.54,critical,yes
94,387-6103,415,AZ,no,no,no,3,0,90,179.1,190.6,127.7,10.6,508.0,71,81,91,7,30.45,16.2,5.75,2.86,250,55.26,0.61,0.11,2.03,0.22,35.26,37.52,25.14,2.09,55.1,29.32,10.41,5.18,critical,no
95,366-4467,408,AK,no,no,no,1,0,104,278.4,81.0,163.2,9.8,532.4,106,113,137,5,47.33,6.89,7.34,2.65,361,64.21,0.62,0.12,1.47,0.18,52.29,15.21,30.65,1.84,73.71,10.73,11.43,4.13,low,no
96,370-3450,415,MT,no,no,no,0,0,73,160.1,213.3,174.1,13.0,560.5,110,72,72,4,27.22,18.13,7.83,3.51,258,56.69,0.78,0.1,2.17,0.22,28.56,38.06,31.06,2.32,48.02,31.98,13.81,6.19,none,no
97,327-3954,415,AZ,no,no,no,4,0,99,198.2,207.3,190.9,8.7,605.1,87,76,113,3,33.69,17.62,8.59,2.35,279,62.25,0.63,0.1,2.17,0.22,32.75,34.26,31.55,1.44,54.12,28.31,13.8,3.78,critical,no
98,355-6291,408,MS,yes,no,no,1,0,120,212.1,209.4,167.2,5.3,594.0,131,104,96,5,36.06,17.8,7.52,1.43,336,62.81,0.52,0.11,1.77,0.19,35.71,35.25,28.15,0.89,57.41,28.34,11.97,2.28,low,no
99,362-9748,415,ID,yes,no,no,2,0,77,251.8,205.7,275.2,9.8,742.5,72,126,109,7,42.81,17.48,12.38,2.65,314,75.32,0.98,0.1,2.36,0.24,33.91,27.7,37.06,1.32,56.84,23.21,16.44,3.52,high,yes
100,379-6506,510,IA,no,no,yes,4,21,98,161.2,252.2,160.2,4.4,578.0,114,83,92,8,27.4,21.44,7.21,1.19,297,57.24,0.58,0.1,1.95,0.19,27.89,43.63,27.72,0.76,47.87,37.46,12.6,2.08,critical,no
101,347-7741,415,MA,no,no,no,0,0,108,178.3,189.0,129.1,14.6,511.0,137,76,102,5,30.31,16.07,5.81,3.94,320,56.13,0.52,0.11,1.6,0.18,34.89,36.99,25.26,2.86,54.0,28.63,10.35,7.02,none,no
102,354-3783,415,VT,no,no,no,0,0,135,151.7,119.0,180.0,10.5,461.2,82,105,100,6,25.79,10.12,8.1,2.84,293,46.85,0.35,0.1,1.57,0.16,32.89,25.8,39.03,2.28,55.05,21.6,17.29,6.06,none,no
103,401-7594,408,KY,no,no,no,1,0,95,135.0,183.6,245.3,12.5,576.4,99,106,102,9,22.95,15.61,11.04,3.38,316,52.98,0.56,0.09,1.82,0.17,23.42,31.85,42.56,2.17,43.32,29.46,20.84,6.38,low,no
